"","X.2","X.1","X","Subnum","Sex","Race","Ethnicity","Big5O","Big5C","Big5E","Big5A","Big5N","Bis11Score","CESD","ESIBF_Disinhibition","ESIBF_SubstanceUse","NPI","PSWQ","STAIS","STAIT","TPM_Boldness","TPM_Disinhibition","TPM_Meanness","Condition","ReactTime","Reward","BestOption","KeyResponse","SetSeen.","OptionRwdMean","Phase","subjID","trial","DeltaTVal","DeltaAVal","delta_bestValue","DecayTVal","DecayAVal","decay_bestValue","decayWinTVal","decayWinAVal","decayWin_bestValue","decayLossTVal","decayLossAVal","decayLoss_bestValue","PVLDecayITParam","PVLDecayDecayparam","PVLDecayShape","PVLDecayLossAversion","PVLDecay_bestValue","PVLDeltaITParam","PVLDeltaRecencyparam","PVLDeltaShape","PVLDeltaLossAversion","PVLDelta_bestValue","PVPEDecayITParam","PVPEDecayDecayParam","PVPEDecayShape","PVPEDecayWeightPosPE","PVPEDecay_bestValue","DeltaUncertaintyITParam","DeltaUncertaintyDecayParam","DeltaUncertaintyShape","DeltaUncertaintyWeightPosPE","DeltaUncertainty_bestValue","deltaBIC","decayWinBIC","decayLossBIC","decayBIC","PVLDecayBIC","PVLDeltaBIC","PVPEDecayBIC","DeltaUncertaintyBIC"
"34751",70501,70501,3751,16,"Female","White","Not Hispanic or Latino",34,36,23,37,28,54,41,9,3,8,80,75,68,27,8,4,"Gains",6070,1.66054894076254,1,3,"1",0.75,"Train",140,1,1.6781228327366,0.344411642843534,114.901468552456,0.896960271536895,0.216230260796358,91.1503331644401,0.895478174425349,0.199876622987452,98.2260061217202,1e-04,0.977547552929178,172.595615630904,0.803493480366701,0.192440011253518,0.186225991687943,5,76.6263489187211,1.84698688823353,0.215293047062238,0.77653010432184,5,93.7276515657149,0.895473542481663,0.199876645570771,0,1,98.2260061217933,2.0974635629047,0.197083622696818,1.59271309544216,0.694128283975077,81.8282581543409,240.837842897842,207.48691803637,356.226137054738,193.33557212181,175.322509423301,209.525114717289,218.521823829445,185.726327894541
"35001",71501,71501,4751,20,"Female","White","Hispanic or Latino",33,32,20,34,32,60,17,14,22,13,67,52,60,18,9,13,"Gains",5120,0.79226297841821,1,3,"1",0.75,"Train",141,1,1.09321260694301,0.110119425391025,162.071963865755,0.0723291787484722,0.01,159.196199747644,0.0837268899631656,0.01,158.559982208022,0.53886906143436,0.162921981532624,162.80527093477,0.0762270691680276,0.01,1,0,158.889134369063,0.86182605619416,0.739448405733811,0.923709263234743,0,160.715475315327,0.156894400733691,0.01,0.474846097201,1,156.981319996208,1.10296455871034,0.0856045582846082,5,0.134033502143192,161.652468002008,335.178833524439,328.154870208973,336.645447662469,329.427305288217,339.848080323985,343.500762216513,336.032451578274,345.374747589875
"35251",72501,72501,5751,24,"Male","White","Not Hispanic or Latino",34,27,25,36,17,66,11,16,0,11,34,30,37,40,18,7,"Losses",5820,-0.571299320210673,0,2,"0",-0.65,"Train",142,1,0.814031765813,1,139.31124009979,0.168331424499723,0.99,172.211971683164,1.00607217810797,0.279208515817669,125.569796649964,0.10427667433198,0.99,172.44448581363,1.04354566950365,0.177293051164966,0,0,137.824248395648,0.937530906373041,0.99,1,0.787022537653265,139.369030044261,1.06871268583366,0.280470860485148,0.0803209629188537,1,125.354678283388,1.01650554283394,0.215697554483058,0.616390474524901,4.77526600497508,136.84864603541,289.657385992509,262.174499092857,355.92387742019,355.458849159257,297.718308377154,300.807871674381,272.779168152635,295.767103656679
"35501",73001,73001,6251,26,"Female","White","Not Hispanic or Latino",30,32,24,31,27,58,14,12,13,23,71,50,49,26,13,20,"Gains",6074,0.618455456029826,1,1,"0",0.65,"Train",143,1,0.282036837210521,1,169.200836955381,0.0287370643559708,0.01,170.280904318466,0.352722316713344,0.776591981805714,169.837040311623,0.688947088999135,0.757842253221132,166.170695511448,0.281446786896352,0.72617700383616,0.0235591076867607,5,167.308990163704,0.538570671307548,0.963250676364482,0.146298131979252,0,166.624893150824,0.867667087533388,0.777273955579797,0,0.296003347433501,163.692342221402,0.272386105820842,0.99,0.5,3.1304685331654,168.81712962637,349.436579703692,350.708986416175,343.376296815825,351.59671442986,356.687791913267,355.319597887506,349.454496028662,359.704070838599
"35751",73751,73751,7001,29,"Female","More than one Race","Not Hispanic or Latino",34,26,19,30,31,76,35,28,5,8,68,55,62,21,25,22,"Gains",5849,0.242968250327892,1,3,"1",0.75,"Train",144,1,1.54859969459966,0.0504182784294357,129.077905372908,0.682636815491308,0.162389132292313,114.121594988433,0.664010124183316,0.118355036400191,109.006219909828,1e-04,0.99,172.593715781145,0.698128660096217,0.166407333597443,0.662368249041013,0,109.994051723329,4.19603331407911,0.01,0.0448958637232442,0,107.110697194937,0.695223115677033,0.120130694323974,0.041856739020828,1,108.984087099703,1.54858321220716,0.0504246347063091,1.31785019544143,0,129.07790560089,269.190716538746,229.047345612585,356.222337355219,239.278095769794,242.057915032517,236.291205975733,240.037985785265,280.225622787638
"36001",75501,75501,8751,36,"Male","White","Not Hispanic or Latino",38,38,26,33,30,51,30,3,0,10,70,50,55,16,8,13,"Gains",4860,0.29953324274627,1,1,"0",0.65,"Train",145,1,1.85222070251102,0.0246359993399861,132.481218977882,0.310303515311647,0.0769828902998243,122.344607841077,0.294976372433349,0.0530419680753972,116.063792234325,1e-04,0.99,172.595312196828,0.33468908224779,0.0899041312501923,0.760537380985483,0,121.900902207345,1.83532652915017,0.0281128252517499,1,0,130.27558144232,0.295911813616519,0.0364421782507219,0,0.828637167347718,115.596240036461,0.0434976614110913,0.0675386414709752,5,21.5332857204323,127.572421173009,275.997343748693,243.162490261579,356.225530186586,255.724121475083,265.871616000549,282.6209744705,253.262291658781,277.214653931877
"36251",75751,75751,9001,37,"Female","More than one Race","Hispanic or Latino",39,35,29,39,30,58,42,15,15,14,65,56,64,25,16,5,"Gains",9733,0.372036434335142,0,2,"0",0.35,"Train",146,1,3.90754883571896,0.000496774228421294,170.27039783953,0.0956523345844326,0.0300093070966522,167.859825655221,0.126739511027415,0.0296212665452163,165.30532756682,0.108550349027032,0.355103540878862,172.409050449765,0.08445373558674,0.0264020359750123,0.511117199462595,0,167.635897721299,1.71685198670504,0.01,0.552073009046205,0,170.786576128856,0.147576451860471,0.0303973008342434,0,0.879036826492865,165.229448067897,1.34970955186054,0.01,0.5,0.607654112373665,170.85226870372,351.575701471989,341.64556092657,355.853006692459,346.754557103371,357.341607028458,363.642963843572,352.528707721652,363.774348993299
"36501",76251,76251,9501,39,"Male","White","Not Hispanic or Latino",39,29,35,38,15,72,7,12,21,20,39,26,23,39,13,15,"Gains",3619,0.293912149018504,1,1,"0",0.65,"Train",147,1,1.46783446898918,0.492405983733563,87.1936263697546,0.64834511351249,0.134969995289322,107.904666347515,0.773134245859457,0.135850179870288,106.558316343402,1e-04,0.272474487472278,172.59428997986,0.636797380478172,0.131508364333912,1,5,97.4773279324506,1.38661020845447,0.470259809005162,1,1.7452198003017,85.8556116604118,1.53995012088727,0.140368105935207,0.610778313942805,0.59769610355088,96.5821311470535,1.4569101726334,0.496389282532654,0.5,0.0779045640138641,87.1737274836579,185.422158532439,224.151538479734,356.223485752649,226.844238487959,217.02446745076,193.781034906682,215.234073879966,196.417266553175
"36751",76501,76501,9751,40,"Female","White","Not Hispanic or Latino",26,30,28,36,17,76,19,16,27,10,48,33,35,32,15,10,"Gains",6380,0.053765110501985,0,4,"1",0.25,"Train",148,1,3.09719236231488,0.00159053834515347,142.727761415416,0.338866981954798,0.092536944868824,128.427297703819,0.419027819236063,0.105480435768055,130.397999927028,1e-04,0.882225052392328,172.595633141387,0.33898921312144,0.0927528489037451,1,1.1556298992175,128.423911588833,1.95051166586097,0.01,0.570973546651794,0,141.379143463152,0.416380590248792,0.105714841610995,0,1,130.399078989179,1.20302691114248,0.0258277566111631,0.5,3.49503223458018,139.338219640374,296.490428623762,271.830905646986,356.226172075703,267.889501200568,278.917634763525,304.828098512163,282.867969564217,300.746250866606
"37001",77001,77001,10251,42,"Female","White","Not Hispanic or Latino",28,35,29,37,24,68,2,8,15,16,61,42,41,24,11,10,"Gains",7546,0.96843279005592,1,3,"1",0.75,"Train",149,1,1.30299784114974,0.280418729670014,154.629874683528,0.795653655028322,0.981666638741932,165.834760075474,0.116502066394945,0.01,158.051969250552,0.361726289661719,0.282241129148843,167.897813607377,0.798252274223904,0.985284687877435,1,0.81667717975819,165.830790278544,1.76118450857992,0.107899101431373,1,0,153.731143450656,0.300113739156996,0.0205332833004442,0,0.671033808292436,151.735058436935,1.30299602618127,0.280420144219518,0.5,0,154.629874683594,320.294655159985,327.138844294033,346.830533007683,342.704425943877,353.731392142948,329.53209848717,325.539928459728,331.329560953047
